input,output
0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,1.252425909042358398e-01
2.000000000000000000e+00,2.504851818084716797e-01
3.000000000000000000e+00,3.679000139236450195e-01
4.000000000000000000e+00,4.774873256683349609e-01
5.000000000000000000e+00,5.870745182037353516e-01
6.000000000000000000e+00,6.810065507888793945e-01
7.000000000000000000e+00,7.671108245849609375e-01
8.000000000000000000e+00,8.453873395919799805e-01
9.000000000000000000e+00,9.001810550689697266e-01
1.000000000000000000e+01,9.471470117568969727e-01
1.100000000000000000e+01,9.784575700759887695e-01
1.200000000000000000e+01,9.941129684448242188e-01
1.300000000000000000e+01,9.941129684448242188e-01
1.400000000000000000e+01,9.862853288650512695e-01
1.500000000000000000e+01,9.549746513366699219e-01
1.600000000000000000e+01,9.080086946487426758e-01
1.700000000000000000e+01,8.453873395919799805e-01
1.800000000000000000e+01,7.749384641647338867e-01
1.900000000000000000e+01,6.888341903686523438e-01
2.000000000000000000e+01,5.949022769927978516e-01
2.100000000000000000e+01,4.931426048278808594e-01
2.200000000000000000e+01,3.757277727127075195e-01
2.300000000000000000e+01,2.583128213882446289e-01
2.400000000000000000e+01,1.408978700637817383e-01
2.500000000000000000e+01,1.565527915954589844e-02
2.600000000000000000e+01,-1.095872521400451660e-01
2.700000000000000000e+01,-2.348298430442810059e-01
2.800000000000000000e+01,-3.522447347640991211e-01
2.900000000000000000e+01,-4.696596860885620117e-01
3.000000000000000000e+01,-5.792468786239624023e-01
3.100000000000000000e+01,-6.731788516044616699e-01
3.200000000000000000e+01,-7.592831254005432129e-01
3.300000000000000000e+01,-8.375597000122070312e-01
3.400000000000000000e+01,-9.001809954643249512e-01
3.500000000000000000e+01,-9.471470117568969727e-01
3.600000000000000000e+01,-9.784576296806335449e-01
3.700000000000000000e+01,-9.941129684448242188e-01
3.800000000000000000e+01,-1.001940608024597168e+00
3.900000000000000000e+01,-9.862852692604064941e-01
4.000000000000000000e+01,-9.549746513366699219e-01
4.100000000000000000e+01,-9.158363342285156250e-01
4.200000000000000000e+01,-8.532150387763977051e-01
4.300000000000000000e+01,-7.827661037445068359e-01
4.400000000000000000e+01,-6.966618299484252930e-01
4.500000000000000000e+01,-6.027299165725708008e-01
