input,output
0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,1.253332346677780151e-01
2.000000000000000000e+00,2.486899048089981079e-01
3.000000000000000000e+00,3.681245446205139160e-01
4.000000000000000000e+00,4.817537069320678711e-01
5.000000000000000000e+00,5.877852439880371094e-01
6.000000000000000000e+00,6.845471262931823730e-01
7.000000000000000000e+00,7.705132961273193359e-01
8.000000000000000000e+00,8.443279862403869629e-01
9.000000000000000000e+00,9.048270583152770996e-01
1.000000000000000000e+01,9.510565400123596191e-01
1.100000000000000000e+01,9.822872877120971680e-01
1.200000000000000000e+01,9.980267286300659180e-01
1.300000000000000000e+01,9.980267286300659180e-01
1.400000000000000000e+01,9.822872281074523926e-01
1.500000000000000000e+01,9.510564804077148438e-01
1.600000000000000000e+01,9.048269987106323242e-01
1.700000000000000000e+01,8.443278074264526367e-01
1.800000000000000000e+01,7.705132365226745605e-01
1.900000000000000000e+01,6.845471262931823730e-01
2.000000000000000000e+01,5.877852439880371094e-01
2.100000000000000000e+01,4.817535877227783203e-01
2.200000000000000000e+01,3.681243956089019775e-01
2.300000000000000000e+01,2.486899048089981079e-01
2.400000000000000000e+01,1.253331899642944336e-01
2.500000000000000000e+01,-8.742277657347585773e-08
2.600000000000000000e+01,-1.253333687782287598e-01
2.700000000000000000e+01,-2.486900687217712402e-01
2.800000000000000000e+01,-3.681247830390930176e-01
2.900000000000000000e+01,-4.817537069320678711e-01
3.000000000000000000e+01,-5.877853035926818848e-01
3.100000000000000000e+01,-6.845471858978271484e-01
3.200000000000000000e+01,-7.705133557319641113e-01
3.300000000000000000e+01,-8.443280458450317383e-01
3.400000000000000000e+01,-9.048271775245666504e-01
3.500000000000000000e+01,-9.510565996170043945e-01
3.600000000000000000e+01,-9.822872281074523926e-01
3.700000000000000000e+01,-9.980267286300659180e-01
3.800000000000000000e+01,-9.980267286300659180e-01
3.900000000000000000e+01,-9.822872281074523926e-01
4.000000000000000000e+01,-9.510564804077148438e-01
4.100000000000000000e+01,-9.048269987106323242e-01
4.200000000000000000e+01,-8.443278074264526367e-01
4.300000000000000000e+01,-7.705130577087402344e-01
4.400000000000000000e+01,-6.845468282699584961e-01
4.500000000000000000e+01,-5.877849459648132324e-01
4.600000000000000000e+01,-4.817537069320678711e-01
4.700000000000000000e+01,-3.681240975856781006e-01
4.800000000000000000e+01,-2.486898154020309448e-01
4.900000000000000000e+01,-1.253326386213302612e-01
5.000000000000000000e+01,1.748455531469517155e-07
5.100000000000000000e+01,1.253339350223541260e-01
5.200000000000000000e+01,2.486901581287384033e-01
5.300000000000000000e+01,3.681244254112243652e-01
5.400000000000000000e+01,4.817540049552917480e-01
5.500000000000000000e+01,5.877852439880371094e-01
5.600000000000000000e+01,6.845474243164062500e-01
5.700000000000000000e+01,7.705132961273193359e-01
5.800000000000000000e+01,8.443279862403869629e-01
5.900000000000000000e+01,9.048271179199218750e-01
6.000000000000000000e+01,9.510565996170043945e-01
6.100000000000000000e+01,9.822872877120971680e-01
6.200000000000000000e+01,9.980267286300659180e-01
